Unnamed: 0,book_id,title,year,pages,description,genres,average_rating,ratings_count,books_count,authors
183,204,A Christmas Carol,1843,104,if i had my way every idiot who goes around with merry christmas on his lips would be boiled with his own pudding and buried with a stake of holly through his heart merry christmas? bah humbug!introduction and afterword by joe wheelerto bitter miserly ebenezer scrooge christmas is just another day but all that changes when the ghost of his longdead business partner appears warning scrooge to change his ways before its too late part of the focus on the family great stories collection this edition features an indepth introduction and discussion questions by joe wheeler to provide greater understanding for todays reader a christmas carol captures the heart of the holidays like no other novel,"classics, fiction, fantasy, historicalfiction",4.02,394540,2380,Charles Dickens
197,219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",1956,767,journeys to the end of the world fantastic creatures and epic battles between good and evilwhat more could any reader ask for in one book? the book that has it all is the lion the witch and the wardrobe written in 1949 by clive staples lewis but lewis did not stop there six more books followed and together they became known as the chronicles of narniafor the past fifty years the chronicles of narnia have transcended the fantasy genre to become part of the canon of classic literature each of the seven books is a masterpiece drawing the reader into a land where magic meets reality and the result is a fictional world whose scope has fascinated generationsthis edition presents all seven booksunabridgedin one impressive volume the books are presented here in chronlogical order each chapter graced with an illustration by the original artist pauline baynes deceptively simple and direct the chronicles of narnia continue to captivate fans with adventures characters and truths that speak to readers of all ages even fifty years after they were first published,"fantasy, classics, fiction, youngadult, christian",4.24,376385,270,C.S. Lewis
207,229,Alice's Adventures in Wonderland & Through the Looking-Glass,1865,239,i cant explain myself im afraid sir said alice because im not myself you seewhen alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it and a sequence of most unusual events is set in motion this mini book contains the entire topsyturvy stories of alices adventures in wonderland and through the lookingglass accompanied by practical notes and martina pelousos memorable fullcolour illustrations,"classics, fantasy, fiction, youngadult",4.06,340920,845,Lewis Carroll
208,230,Persuasion,1817,249,twentysevenyear old anne elliot is austens most adult heroine eight years before the story proper begins she is happily betrothed to a naval officer frederick wentworth but she precipitously breaks off the engagement when persuaded by her friend lady russell that such a match is unworthy the breakup produces in anne a deep and longlasting regret when later wentworth returns from sea a rich and successful captain he finds annes family on the brink of financial ruin and his own sister a tenant in kellynch hall the elliot estate all the tension of the novel revolves around one question will anne and wentworth be reunited in their love?jane austen once compared her writing to painting on a little bit of ivory 2 inches square readers of persuasion will discover that neither her skill for delicate ironic observations on social custom love and marriage nor her ability to apply a sharp focus lens to english manners and morals has deserted her in her final finished work,"classics, fiction, romance, historicalfiction",4.13,365425,1451,Jane Austen
223,247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,1989,372,when stephen covey first released the seven habits of highly effective people the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that they realized that there were so many simple things they could do in order to navigate their life correctly this book was wonderful education for people education in how to live life effectively and get closer to the ideal of being a ‘success’ in lifebut not everyone understands stephen covey’s model fully well or maybe there are some people who haven’t read it yet this is definitely true because we still see so much failure all around us now i am not saying that by using covey’s model or anyone else’s model for that matter you can become a sureshot success but at least we should have seen many more successes around us already judging by the number of copies the book has sold! so where is the shortcoming?there are two main problems here and we are talking only about the people who have read the book already the first problem is that most people are too lazy to implement the ideals of stephen covey in their lives they consider his masterpiece of a book as a mere coffeetable book or a book that you use for light reading when you are traveling and then forget all about it they do not realize that this book contains lifechanging information or they take the information and do not make the effort to actually utilize it so that it becomes knowledge for themthe second problem is that a lot of people have a myopic view of covey’s ideals these are people who are impressed by the book already if you ask them what the seven habits are they can rattle them off end to end but then they miss the larger picture they do not understand that covey was trying to tell more than he wrote in words there are hidden implications in this book yes and a lot of people have just failed to see through themthat is what we are trying to do we are trying to show you how covey’s book or rather his model was a complete model in itself there was nothing amiss about it if you implement it there should be no aspect of your life that should go untouched the only thing is that you have to understand these ideals and try to implement them in your lifebut before we barge into that area it is extremely important to understand what these ideals are what was the model that was propounded by stephen covey in his megafamous book? we shall begin by trying to understand his model first and then interpret it in such a way that it pertains to every aspect of our life,"selfhelp, nonfiction, business, psychology, philosophy",4.05,314700,250,Stephen R. Covey
233,258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",2001,487,barcelona 1945 a city slowly heals from its war wounds and daniel an antiquarian book dealers son who mourns the loss of his mother finds solace in a mysterious book entitled the shadow of the wind by one julian carax but when he sets out to find the authors other works he makes a shocking discovery someone has been systematically destroying every copy of every book carax has written in fact daniel may have the last of caraxs books in existence soon daniels seemingly innocent quest opens a door into one of barcelonas darkest secretsan epic story of murder madness and doomed loveback cover,"fiction, historicalfiction, mystery, fantasy",4.24,263685,279,Carlos Ruiz Zafón
235,260,How to Win Friends and Influence People,1936,288,isbn  moved to this editionyou can go after the job you wantand get it! you can take the job you haveand improve it! you can take any situation youre inand make it work for you!since its release in 1936 how to win friends and influence people has sold more than 15 million copies dale carnegies first book is a timeless bestseller packed with rocksolid advice that has carried thousands of now famous people up the ladder of success in their business and personal livesas relevant as ever before dale carnegies principles endure and will help you achieve your maximum potential in the complex and competitive modern agelearn the six ways to make people like you the twelve ways to win people to your way of thinking and the nine ways to change people without arousing resentment,"nonfiction, selfhelp, business, psychology, classics",4.13,282623,353,Dale Carnegie
244,270,Rebecca,1938,449,last night i dreamt i went to manderley again   the novel begins in monte carlo where our heroine is swept off her feet by the dashing widower maxim de winter and his sudden proposal of marriage orphaned and working as a ladys maid she can barely believe her luck it is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their livespresenting her with a lingering evil that threatens to destroy their marriage from beyond the grave,"classics, fiction, mystery, romance, historicalfiction, thriller, suspense",4.2,177384,306,Daphne du Maurier
246,274,The Godfather,1969,448,the godfatherthe epic tale of crime and betrayal that became a global phenomenonalmost fifty years ago a classic was born a searing portrayal of the mafia underworld the godfather introduced readers to the first family of american crime fiction the corleones and their powerful legacy of tradition blood and honor the seduction of power the pitfalls of greed and the allegiance to familythese are the themes that have resonated with millions of readers around the world and made the godfather the definitive novel of the violent subculture that steeped in intrigue and controversy remains indelibly etched in our collective consciousness~penguincom,"fiction, classics, crime, thriller, historicalfiction, mystery",4.36,256480,259,Mario Puzo
264,292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",1951,248,the dawn treader will take you places you never dreamed existed narnia the world of wicked dragons and magic spells where the very best is brought out of even the worst people where anything can happen and most often does and where the adventure beginsthe dawn treader is the first ship narnia has seen in centuries king caspian has built it for his voyage to find the seven lords good men whom his evil uncle miraz banished when he usurped the throne the journey takes edmund lucy and their cousin eustace to the eastern islands beyond the silver sea toward aslans country at the end of the world,"fantasy, fiction, classics, youngadult, christian",4.08,306492,299,C.S. Lewis
282,311,The Thorn Birds,1977,692,alternate cover edition isbn  isbn13 the thorn birds is a robust romantic saga of a singular family the clearys it begins in the early part of this century when paddy cleary moves his wife fiona and their seven children to drogheda the vast australian sheep station owned by his autocratic and childless older sister; and it ends more than half a century later when the only survivor of the third generation the brilliant actress justine oneill sets a course of life and love halfway around the world from her rootsthe central figures in this enthralling story are the indomitable meggie the only cleary daughter and the one man she truly loves the stunningly handsome and ambitious priest ralph de bricassart ralphs course moves him a long way indeed from a remote outback parish to the halls of the vatican; and meggies except for a brief and miserable marriage elsewhere is fixed to the drogheda that is part of her bones  but distance does not dim their feelings though it shapes their liveswonderful characters people this book; strong and gentle paddy hiding a private memory; dutiful fiona holding back love because it once betrayed her violent tormented frank and the other hardworking cleary sons who give the boundless lands of drogheda the energy and devotion most men save for women; meggie; ralph; and meggies children justine and dane and the land itself; stark relentless in its demands brilliant in its flowering prey to gigantic cycles of drought and flood rich when nature is bountiful surreal like no other place on earthfirst edition jacket,"fiction, historicalfiction, romance, classics",4.22,255651,201,Colleen McCullough
294,323,The Unbearable Lightness of Being,1984,320,in the unbearable lightness of being milan kundera tells the story of a young woman in love with a man torn between his love for her and his incorrigible womanizing and one of his mistresses and her humbly faithful lover this magnificent novel juxtaposes geographically distant places brilliant and playful reflections and a variety of styles to take its place as perhaps the major achievement of one of the world’s truly great writers,"fiction, classics, philosophy, romance, contemporary",4.08,205279,274,Milan Kundera
302,332,"The Magician's Nephew (Chronicles of Narnia, #6)",1953,221,the secret passage to the house next door leads to a fascinating adventurenarniawhere the woods are thick and cold where talking beasts are called to lifea new world where the adventure beginsdigory and polly meet and become friends one cold wet summer in london their lives burst into adventure when digorys uncle andrew who thinks he is a magician sends them hurtling tosomewhere else they find their way to narnia newborn from the lions song and encounter the evil sorceress jadis before they finally return home,"fantasy, classics, fiction, youngadult, christian",4.01,268355,312,C.S. Lewis
344,377,Stardust,1999,248,life moves at a leisurely pace in the tiny town of wallnamed after the imposing stone barrier which separates the town from a grassy meadow here young tristran thorn has lost his heart to the beautiful victoria forester and for the coveted prize of her hand tristran vows to retrieve a fallen star and deliver it to his beloved it is an oath that sends him over the ancient wall and into a world that is dangerous and strange beyond imagining,"fantasy, fiction, romance, youngadult",4.07,237602,207,Neil Gaiman
347,380,Norwegian Wood,1987,296,toru a quiet and preternaturally serious young college student in tokyo is devoted to naoko a beautiful and introspective young woman but their mutual passion is marked by the tragic death of their best friend years before toru begins to adapt to campus life and the loneliness and isolation he faces there but naoko finds the pressures and responsibilities of life unbearable as she retreats further into her own world toru finds himself reaching out to others and drawn to a fiercely independent and sexually liberated young womana magnificent blending of the music the mood and the ethos that was the sixties with the story of one college students romantic coming of age norwegian wood brilliantly recaptures a young mans first hopeless and heroic love,"fiction, romance, contemporary",4.02,183988,232,Haruki Murakami
378,413,The Three Musketeers,1844,625,alexandre dumas’s most famous tale and possibly the most famous historical novel of all time in a handsome hardcover volumethis swashbuckling epic of chivalry honor and derringdo set in france during the 1620s is richly populated with romantic heroes unattainable heroines kings queens cavaliers and criminals in a whirl of adventure espionage conspiracy murder vengeance love scandal and suspense dumas transforms minor historical figures into larger thanlife characters the comte d’artagnan an impetuous young man in pursuit of glory; the beguilingly evil seductress “milady”; the powerful and devious cardinal richelieu; the weak king louis xiii and his unhappy queenand of course the three musketeers themselves athos porthos and aramis whose motto “all for one one for all” has come to epitomize devoted friendship with a plot that delivers stolen diamonds masked balls purloined letters and of course great bouts of swordplay the three musketeers is eternally entertaining,"classics, fiction, historicalfiction",4.06,195274,1341,Alexandre Dumas
389,424,The Name of the Rose,1980,536,the year is 1327 benedictines in a wealthy italian abbey are suspected of heresy and brother william of baskerville arrives to investigate when his delicate mission is suddenly overshadowed by seven bizarre deaths brother william turns detective his tools are the logic of aristotle the theology of aquinas the empirical insights of roger baconall sharpened to a glistening edge by wry humor and a ferocious curiosity he collects evidence deciphers secret symbols and coded manuscripts and digs into the eerie labyrinth of the abbey where “the most interesting things happen at night”,"fiction, historicalfiction, mystery, classics, crime",4.11,200217,428,Umberto Eco
392,427,The Importance of Being Earnest,1895,76,oscar wildes madcap farce about mistaken identities secret engagements and lovers entanglements still delights readers more than a century after its 1895 publication and premiere performance the rapidfire wit and eccentric characters of the importance of being earnest have made it a mainstay of the high school curriculum for decadescecily cardew and gwendolen fairfax are both in love with the same mythical suitor jack worthing has wooed gwendolen as ernest while algernon has also posed as ernest to win the heart of jacks ward cecily when all four arrive at jacks country home on the same weekend the rivals to fight for ernests undivided attention and the ernests to claim their beloveds pandemonium breaks loose only a senile nursemaid and an old discarded handbag can save the day!this prestwick house literary touchstone edition includes a glossary and readers notes to help the modern reader appreciate wildes wry wit and elaborate plot twists,"classics, fiction, romance",4.17,210630,728,Oscar Wilde
397,432,"I, Robot (Robot #0.1)",1950,224,isaac asimovs i robot launches readers on an adventure into a notsodistant future where man and machine  struggle to redefinelife love and consciousnessand where the stakes are nothing less than survival filled with unforgettable characters mindbending speculation and nonstop action i robot is a powerful reading experience from one of the master storytellers of our time i robot they mustnt harm a human being they must obey hitman orders and they must protect their own existencebut only so long as that doesnt violate rules one and two with these three laws of robotics humanity embarked on perhaps its greatest adventure the invention of the first positronic man it was a bold new era of evolution that would open up enormous possibilitiesand unforeseen risks for the scientists who invented the earliest robots werent content that their creations should  remain programmed helpers companions and semisentient workermachines and soon the robots themselves; aware of their own intelligence power and humanity arent either as humans and robots struggle to survive togetherand sometimes against each otheron earth and in space the future of both hangs in the balance human men and women confront robots gone mad telepathic robots robot politicians and vast robotic intelligences that may already secretly control the world and both are asking the same questions what is human? and is humanity obsolete? in l robot isaac asimov changes forever our perception of robots and human beings and updates the timeless myth of mans dream to play god with all its rewardsand terrorsfront flap,"sciencefiction, fiction, classics, fantasy",4.17,198368,218,Isaac Asimov
404,439,A Brief History of Time,1987,212,in the ten years since its publication in 1988 stephen hawkings classic work has become a landmark volume in scientific writing with more than nine million copies in forty languages sold worldwide that edition was on the cutting edge of what was then known about the origins and nature of the universe but the intervening years have seen extraordinary advances in the technology of observing both the micro and the macrocosmic worlds these observations have confirmed many of professor hawkings theoretical predictions in the first edition of his book including the recent discoveries of the cosmic background explorer satellite cobe which probed back in time to within 300000 years of the universes beginning and revealed wrinkles in the fabric of spacetime that he had projected eager to bring to his original text the new knowledge revealed by these observations as well as his own recent research professor hawking has prepared a new introduction to the book written an entirely new chapter on wormholes and time travel and updated the chapters throughout,"science, nonfiction, history, philosophy, classics",4.12,165628,246,Stephen Hawking
408,444,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",1926,145,the adventures of christopher robin and his friends in which pooh bear uses a balloon to get honey piglet meets a heffalump and eeyore has a birthday,"classics, fiction, fantasy, youngadult",4.34,207550,244,A.A. Milne
410,446,A Study in Scarlet,1887,123,a study in scarlet is the first published story of one of the most famous literary detectives of all time sherlock holmes here dr watson who has just returned from a war in afghanistan meets sherlock holmes for the first time when they become flatmates at the famous 221 b baker street in a study in scarlet sherlock holmes investigates a murder at lauriston gardens as dr watson tags along with holmes while narratively detailing his amazing deductive abilities,"classics, mystery, fiction, crime, historicalfiction",4.15,201499,1106,Arthur Conan Doyle
427,464,Holy Bible: King James Version,1611,1590,holy bible king james version,"religion, classics, nonfiction, christian, history, philosophy, spirituality",4.43,159457,1449,Anonymous
447,485,The Brothers Karamazov,1880,796,the brothers karamazov is a murder mystery a courtroom drama and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” fyodor pavlovich karamazov and his three sons―the impulsive and sensual dmitri; the coldly rational ivan; and the healthy redcheeked young novice alyosha through the gripping events of their story dostoevsky portrays the whole of russian life is social and spiritual striving in what was both the golden age and a tragic turning point in russian culturethis awardwinning translation by richard pevear and larissa volokhonsky remains true to the verbalinventiveness of dostoevsky’s prose preserving the multiple voices the humor and the surprising modernity of the original it is an achievement worthy of dostoevsky’s last and greatest novel,"classics, fiction, philosophy, religion",4.3,155838,1072,Fyodor Dostoyevsky
451,489,The Prophet,1923,127,kahlil gibran’s masterpiece the prophet is one of the most beloved classics of our time published in 1923 it has been translated into more than twenty languages and the american editions alone have sold more than nine million copiesthe prophet is a collection of poetic essays that are philosophical spiritual and above all inspirational gibran’s musings are divided into twentyeight chapters covering such sprawling topics as love marriage children giving eating and drinking work joy and sorrow housing clothes buying and selling crime and punishment laws freedom reason and passion pain selfknowledge teaching friendship talking time good and evil prayer pleasure beauty religion and death,"poetry, philosophy, classics, fiction, spirituality, religion, selfhelp",4.22,142641,721,Kahlil Gibran
457,498,War and Peace,1869,1392,in russias struggle with napoleon tolstoy saw a tragedy that involved all mankind greater than a historical chronicle war and peace is an affirmation of life itself `a complete picture as a contemporary reviewer put it `of everything in which people find their happiness and greatness their grief and humiliation tolstoy gave his personal approval to this translation published here in a new single volume edition which includes an introduction by henry gifford and tolstoys important essay `some words about war and peace,"classics, fiction, historicalfiction",4.11,168037,1017,Leo Tolstoy
462,503,"2001: A Space Odyssey (Space Odyssey, #1)",1968,297,on the moon an enigma is uncovered  so great are the implications of this discovery that for the first time men are sent out deep into our solar system  but long before their destination is reached things begin to go horribly inexplicably wrong  one of the greatestselling science fiction novels of our time this classic book will grip you to the very end,"sciencefiction, fiction, classics, fantasy",4.12,170841,221,Arthur C. Clarke
473,514,The Adventures of Sherlock Holmes,1892,389,the adventures of sherlock holmes is the series of short stories that made the fortunes of the strand magazine in which they were first published and won immense popularity for sherlock holmes and dr watson the detective is at the height of his powers and the volume is full of famous cases including the redheaded league the blue carbuncle and the speckled band although holmes gained a reputation for infallibility conan doyle showed his own realism and feminism by having the great detective defeated by irene adler  the woman  in the very first story a scandal in bohemia the editor of this volume richard lancelyn green is editor of the uncollected sherlock holmes and the further adventures of sherlock holmes with john michael gibson he compiled the soho series bibliography of a conan doyle,"classics, mystery, fiction, crime",4.29,139816,1235,Arthur Conan Doyle
477,518,Peter Pan,1904,176,peter pan by j m barrie peter pan the mischievous boy who refuses to grow up lands in the darlings proper middleclass home to look for his shadow he befriends wendy john and michael and teaches them to fly with a little help from fairy dust he and tinker bell whisk them off to neverland where they encounter the red indians the little lost boys pirates and the dastardly captain hook,"classics, fantasy, fiction, youngadult",4.1,169306,1416,J.M. Barrie
488,530,Much Ado About Nothing,1598,246,in much ado about nothing shakespeare includes two quite different stories of romantic love hero and claudio fall in love almost at first sight but an outsider don john strikes out at their happiness beatrice and benedick are kept apart by pride and mutual antagonism until others decide to play cupid,"classics, fiction, romance",4.06,175616,805,William Shakespeare
502,545,The Velveteen Rabbit,1922,40,nursery magic is very strange and wonderful and only those playthings that are old and wise and experienced like the skin horse understand all about itlike the skin horse margery williams understood how toysand peoplebecome real through the wisdom and experience of love this reissue of a favorite classic with the original story and illustrations as they first appeared in 1922 will work its magic for all who read it,"classics, fiction, fantasy, youngadult",4.29,173469,383,Margery Williams Bianco
548,592,The Master and Margarita,1967,335,the first complete annotated english translation of mikhail bulgakovs comic masterpiecean audacious revision of the stories of faust and pontius pilate the master and margarita is recognized as one of the essential classics of modern russian literature the novels vision of soviet life in the 1930s is so ferociously accurate that it could not be published during its authors lifetime and appeared only in a censored edition in the 1960s its truths are so enduring that its language has become part of the common russian speechone hot spring the devil arrives in moscow accompanied by a retinue that includes a beautiful naked witch and an immense talking black cat with a fondness for chess and vodka the visitors quickly wreak havoc in a city that refuses to believe in either god or satan but they also bring peace to two unhappy muscovites one is the master a writer pilloried for daring to write a novel about christ and pontius pilate; the other is margarita who loves the master so deeply that she is willing literally to go to hell for him what ensues is a novel of inexhaustible energy humor and philosophical depth a work whose nuances emerge for the first time in diana burgins and katherine tiernan oconnors splendid english versionback cover,"classics, fiction, fantasy, historicalfiction",4.32,131389,586,Mikhail Bulgakov
574,618,The Hound of the Baskervilles,1902,256,we owe the hound of the baskervilles 1902 to arthur conan doyles good friend fletcher bobbles robinson who took him to visit some scary english moors and prehistoric ruins and told him marvelous local legends about escaped prisoners and a 17thcentury aristocrat who fell afoul of the family dog doyle transmogrified the legend generations ago a hound of hell tore out the throat of devilish hugo baskerville on the moonlit moor poor accursed baskerville hall now has another mysterious death that of sir charles baskerville could the culprit somehow be mixed up with secretive servant barrymore historyobsessed dr frankland butterflychasing stapleton or selden the notting hill murderer at large? someones been signaling with candles from the mansions windows nor can supernatural forces be ruled out can dr watsonleft alone by sherlock holmes to sleuth in fear for much of the novelsave the next baskerville sir henry from the hounds fangs? many holmes fans prefer doyles complete short stories but their clockwork logic doesnt match the authors boast about this novel its a real creeper! what distinguishes this particular hound is its fulfillment of doyles great debt to edgar allan poeits full of ancient woe low moans a grimpen mire that sucks ponies to dostoyevskian deaths and locals digging up neolithic skulls without nextofkins consent the longer one stays here the more does the spirit of the moor sink into ones soul watson realizes rank reeds and lush slimy waterplants sent an odour of decay  while a false step plunged us more than once thighdeep into the dark quivering mire which shook for yards in soft undulations around our feet  it was as if some malignant hand was tugging us down into those obscene depths read onbut reader watch your step! tim appelo,"classics, mystery, fiction, crime, thriller",4.09,154517,1717,Arthur Conan Doyle
592,637,The Martian Chronicles,1950,182,the strange and wonderful tale of man’s experiences on mars filled with intense images and astonishing visions now part of the voyager classics collectionthe martian chronicles tells the story of humanity’s repeated attempts to colonize the red planet the first men were few most succumbed to a disease they called the great loneliness when they saw their home planet dwindle to the size of a fist they felt they had never been born those few that survived found no welcome on mars the shapechanging martians thought they were native lunatics and duly locked them upbut more rockets arrived from earth and more piercing the hallucinations projected by the martians people brought their old prejudices with them – and their desires and fantasies tainted dreams these were soon inhabited by the strange native beings with their caged flowers and birds of flamecontentsrocket summeryllathe summer nightthe earth menthe taxpayerthe third expeditionand the moon be still as brightthe settlersthe green morningthe locustsnight meetingthe shoreinterimthe musiciansway in the middle of the airthe naming of namesusher iithe old onesthe martianthe luggage storethe off seasonthe watchersthe silent townsthe long yearsthere will come soft rainsthe million year picnic,"sciencefiction, fiction, classics, fantasy",4.12,143236,271,Ray Bradbury
596,641,"The Last Battle (Chronicles of Narnia, #7)",1956,288,this edition of lewiss classic fantasy fiction is packaged specifically for adults complementing the look of the authors nonfiction books and anticipating the forthcoming narnia feature films this edition contains an exclusive ps section about the history of the book plus a roundup of the first six titles,"fantasy, fiction, classics, youngadult, christian",4.02,158701,245,C.S. Lewis
622,669,The House of the Spirits,1982,448,in one of the most important and beloved latin american works of the twentieth century isabel allende weaves a luminous tapestry of three generations of the trueba family revealing both triumphs and tragedies here is patriarch esteban whose wild desires and political machinations are tempered only by his love for his ethereal wife clara a woman touched by an otherworldly hand their daughter blanca whose forbidden love for a man esteban has deemed unworthy infuriates her father yet will produce his greatest joy his granddaughter alba a beautiful ambitious girl who will lead the family and their country into a revolutionary futurethe house of the spirits is an enthralling saga that spans decades and lives twining the personal and the political into an epic novel of love magic and fate,"fiction, historicalfiction, classics, fantasy",4.2,119930,243,Isabel Allende
625,672,"Murder on the Orient Express (Hercule Poirot, #10)",1934,347,just after midnight a snowdrift stops the orient express in its tracks the luxurious train is surprisingly full for the time of the year but by the morning it is one passenger fewer an american tycoon lies dead in his compartment stabbed a dozen times his door locked from the insideisolated and with a killer in their midst detective hercule poirot must identify the murdererin case he or she decides to strike again,"mystery, classics, fiction, crime, thriller",4.16,138444,429,Agatha Christie
633,680,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,1937,233,this is the original 1937 version of napoleon hills classic book think and grow rich to the greatest extent possible the text and formatting have been kept exactly the same as in the original release with the exception of some minor formatting changes,"business, selfhelp, nonfiction, psychology, philosophy",4.17,87445,709,Napoleon Hill
719,769,The Complete Sherlock Holmes,1894,1796,a study in scarlet the sign of four adventures of sherlock holmes  a scandal in bohemia ; the redheaded league ; a case of identity ; the boscombe valley mystery ; the five orange pips ; the man with the twisted lip ; the adventure of the blue carbuncle ; the adventure of the speckled band ; the adventure of the engineers thumb ; the adventure of the noble bachelor ; the adventure of the beryl coronet ; the adventure of the copper beeches memoirs of sherlock holmes  silver blaze ; the yellow face ; the stockbrokers clerk ; the gloria scott ; the musgrave ritual ; the reigate puzzle ; the crooked man ; the resident patient ; the greek interpreter ; the naval treaty ; the final problem the return of sherlock holmes  the adventure of the empty house ; the adventure of the norwood builder ; the adventure of the dancing men ; the adventure of the solitary cyclist ; the adventure of the priory school ; the adventure of black peter ; the adventure of charles augustus milverton ; the adventure of the six napoleons ; the adventure of the three students ; the adventure of the golden pincenez ; the adventure of the missing threequarter ; the adventure of the abbey grange ; the adventure of the second stain volume 2 introduction  by loren d estleman the hound of the baskervilles the valley of fear his last bow  the adventure of wisteria lodge  the singular experience of mr john scott eccles ; the tiger of san pedro ; the adventure of the cardboard box ; the adventure of the red circle ; the adventure of the brucepartington plans ; the adventure of the dying detective ; the disappearance of lady frances carfax ; the adventure of the devils foot ; his last bow the casebook of sherlock holmes  the adventure of the illustrious client ; the adventure of the blanched soldier ; the adventure of the mazarin stone ; the adventure of the three gables ; the adventure of the sussex vampire ; the adventure of the three garridebs ; the problem of thor bridge ; the adventure of the creeping man ; the adventure of the lions mane ; the adventure of the veiled lodger ; the adventure of shoscombe old place ; the adventure of the retired colourman,"classics, mystery, fiction, crime, historicalfiction, thriller",4.5,109754,301,Arthur Conan Doyle
742,792,The Complete Grimm's Fairy Tales,1812,880,originally titled children’s and household tales the complete grimm’s fairy tales contains the essential bedtime stories for children worldwide for the better part of two centuries the brothers grimm jacob and wilhelm were german linguists and cultural researchers who gathered legendary folklore and aimed to collect the stories exactly as they heard them 2012 marked the 200th anniversary of grimm’s fairy tales and what better way to celebrate than to include all 211 stories into the knickerbocker classic series?featuring all your favorite classics including “hansel and gretel” “cinderella” “the frog prince” “rapunzel” “snow white” “rumpelstiltskin” and dozens more the complete grimm’s fairy tales is also accompanied by 40 color plates and 60 black and white illustrations from awardwinning english illustrator arthur rackham whose books and prints are now highly soughtafter collectiblesthe third title in the knickerbocker classic series has 800 pages of classic fairy tales to enjoy and will also feature a fullcloth binding ribbon marker and will fit neatly in an elegant slipcase for your personal library collectionalso includes a selection of stunning color reproductions by the famous illustrator arthur rackham,"classics, fantasy, fiction",4.31,116324,325,Jacob Grimm
750,800,The Story of My Life,1902,240,when she was 19 months old helen keller 1880–1968 suffered a severe illness that left her blind and deaf not long after she also became mute her tenacious struggle to overcome these handicapswith the help of her inspired teacher anne sullivanis one of the great stories of human courage and dedication in this classic autobiography first published in 1903 miss keller recounts the first 22 years of her life including the magical moment at the water pump when recognizing the connection between the word water and the cold liquid flowing over her hand she realized that objects had names subsequent experiences were equally noteworthy her joy at eventually learning to speak her friendships with oliver wendell holmes edward everett hale and other notables her education at radcliffe from which she graduated cum laude andunderlying allher extraordinary relationship with miss sullivan who showed a remarkable genius for communicating with her eager and quicktolearn pupil,"nonfiction, biography, classics, memoir, history",4.07,107313,298,Helen Keller
816,868,Pippi Longstocking,1945,160,tommy and his sister annika have a new neighbor and her name is pippi longstocking she has crazy red pigtails no parents to tell her what to do a horse that lives on her porch and a flair for the outrageous that seems to lead to one adventure after another! back cover,"classics, fiction, youngadult, fantasy",4.11,123065,215,Astrid Lindgren
825,877,The Neverending Story,1979,396,this epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published more than a decade ago its special story within a story is an irresistible invitation for readers to become part of the book itself and now this modern classic and bibliophiles dream is available in hardcover againthe story begins with a lonely boy named bastian and the strange book that draws him into the beautiful but doomed world of fantastica only a human can save this enchanted place by giving its ruler the childlike empress a new name but the journey to her tower leads through lands of dragons giants monsters and magic and once bastian begins his quest he may never return as he is drawn deeper into fantastica he must find the courage to face unspeakable foes and the mysteries of his own heart readers too can travel to the wondrous unforgettable world of fantastica if they will just turn the pagefront flap,"fantasy, classics, fiction, youngadult",4.17,109110,218,Michael Ende
932,997,The Scarlet Pimpernel,1905,182,armed with only his wits and his cunning one man recklessly defies the french revolutionaries and rescues scores of innocent men women and children from the deadly guillotine his friends and foes know him only as the scarlet pimpernel but the ruthless french agent chauvelin is sworn to discover his identity and to hunt him down,"classics, historicalfiction, fiction, romance, mystery",4.06,93217,427,Emmuska Orczy
948,1015,Steppenwolf,1927,256,steppenwolf is a poetical selfportrait of a man who felt himself to be halfhuman and halfwolf this faustlike and magical story is evidence of hesses searching philosophy and extraordinary sense of humanity as he tells of the humanization of a middleaged misanthrope yet his novel can also be seen as a plea for rigorous selfexamination and an indictment of the intellectual hypocrisy of the period as hesse himself remarked of all my books steppenwolf is the one that was more often and more violently misunderstood than any of the others,"fiction, classics, philosophy, psychology",4.11,80769,359,Hermann Hesse
962,1031,A Moveable Feast,1964,192,hemingways memories of his life as an unknown writer living in paris in the twenties are deeply personal warmly affectionate and full of wit looking back not only at his own much younger self but also at the other writers who shared paris with him  james joyce wyndham lewis scott and zelda fitzgerald  he recalls the time when poor happy and writing in cafes he discovered his vocation written during the last years of hemingways life his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city,"classics, nonfiction, memoir, biography, travel",4.04,69992,208,Ernest Hemingway
